,update_chat_message,update_comment,update_document,update_google_calendar_event,update_task,view_tools_catalog
domain_knowledge_depth=deep,-0.00029974340091890457,0.002864409053746618,0.019150767610622163,-0.005500246962481326,0.01492819532219917,0.005500403934893251
domain_knowledge_depth=light,0.008248664384320417,0.010450802132743738,0.012316180320601243,0.02165675264299338,0.07535707144959815,0.054612916518147404
domain_knowledge_depth=moderate,-0.005913778296703178,-0.011804688314904783,-0.009407727687665287,-0.015956910814518964,-0.08064914020718633,-0.0582234124013047
domain_knowledge_depth=none,-0.0030176920014476426,0.0006920683890679929,-0.021468401126774218,-0.0028381064544984757,0.0024435441917631867,0.006211088582013508
domain_knowledge_depth=unknown,-0.00013780350594688932,-0.0004971692862712952,-0.00172622030013649,-0.00037516382179524104,-0.0023610575074537827,-0.0002970682488953642
