,add_agent_schedule,add_task_to_list,check_calendar_availability,complete_execution,create_custom_field,create_document
edit_image,-0.009429078091059173,-0.004719917438518544,-0.004490529402512023,-0.0017498402895937592,-0.005110415794816001,-0.01812903359981218
find_similar_assets,0.0025627848973299805,7.014728826483963e-05,-0.0005406726301171098,0.016549901127377746,-0.0007905218463922325,-0.0005350162788608403
find_stale_tasks,0.0003539846939692184,0.0015210518421958827,-0.001784411668470156,0.0003811532395051395,-0.00481396952380422,-0.019440164343631536
follow_up_cursor_agent,-0.0004880825824291861,-0.0002411319878724584,-0.00022861181244598417,-8.88919943742879e-05,-0.00030386071017561567,-0.001251425356075494
generate_image,-0.010980092838252915,-0.006472635507467159,-0.005457354689277084,-0.0023459258652579096,-0.0051200412134888235,0.041874345429282644
generate_project_summary,-0.0033328509041293847,-0.0036150577555485877,-0.004191788954348468,0.00236307565408735,-0.002845148694602923,-0.006691654286562051
