tone_and_persona,dormant,failure,success,success_rate
casual_friendly,25901,1311,9438,0.2575170532059957
empathetic_supportive,8340,448,3366,0.276945861444769
professional_formal,30774,4108,20853,0.3741455100026846
technical_precise,4681,560,2427,0.3165101721439337
unknown,844,184,628,0.3792270531398676
