value,top_tools_pos,top_tools_neg
general_productivity,"Calendar & priorities: retrieve_personal_priorities (+0.13); Chat & messaging: post_chat_message (+0.12); Task & list work: retrieve_activity (+0.15), retrieve_tasks_by_filters (+0.14), todo_write (+0.12); Other actions: find_stale_tasks (+0.10)",Chat & messaging: post_reply (-0.11); Web research: search_public_web (-0.10)
personal_use_case,Chat & messaging: post_reply (+0.12),"Docs & context: load_assets (-0.08); Task & list work: todo_write (-0.12), retrieve_tasks_by_filters (-0.10), retrieve_activity (-0.09)"
specific_use_case,"Docs & context: load_assets (+0.10), load_custom_fields (+0.10)",Calendar & priorities: retrieve_personal_priorities (-0.12); Chat & messaging: post_chat_message (-0.10)
