,list_available_calendars,load_assets,load_custom_fields,load_web_pages,manage_personal_priorities,move_task_to_list
data_flow_direction=bidirectional,0.005069916284050697,0.011409374698308664,0.007643435190376717,0.09091264071517004,0.0007347160071744369,0.007328442729362015
data_flow_direction=inbound,-0.00035466970293516407,0.015385432396014245,0.02047296673462255,0.004797266070316963,-0.0029356354475487535,0.00496007755396035
data_flow_direction=outbound,-0.002275462680325555,-0.1987110442985817,-0.1736749256817189,0.03552787834428599,-0.04874265210944798,-0.037523485222106606
data_flow_direction=processing,-0.00029470765287794383,0.18913573762577712,0.1658887175422262,-0.08203500123839362,0.048338941355668325,0.0328891080072095
data_flow_direction=unknown,-0.0002499252503279888,-0.005323510446893866,-0.007128194983064782,-0.004121952865164295,-0.002580935542593557,-0.0018700476194138593
