,external_integration_scope=calendar_integration,external_integration_scope=clickup_only,external_integration_scope=email_integration,external_integration_scope=multiple_external_systems,external_integration_scope=unknown,external_integration_scope=web_research_integration
add_agent_schedule,0.04426953412399314,-0.034256157151692536,0.016509335617448124,0.03201426427733666,0.0061354446682578825,-0.005707237582211868
add_task_to_list,-0.001927627665260015,0.009622356944812635,-0.000911957759288348,-0.0014406758759933774,-0.0011581155289566798,-0.009936601673724267
check_calendar_availability,0.1705849962840715,-0.07188555562335859,-0.00457678037525903,0.04342904864199665,-0.0021701523921082762,-0.010976910079772348
complete_execution,-0.0014701060401925833,0.002255808441651323,-0.002160416592156564,-0.00226218128803572,0.0028089482640120183,-0.0007022843283614262
create_custom_field,-0.004540615777005926,0.0100495659658959,-0.0024122365417210473,-0.003534209669094029,-0.00032080563416457146,-0.007510742924462184
create_document,-0.020117238449630682,-0.022139637083070204,-0.013057757424998208,-0.008895166949592652,-0.0008068712058501039,0.05089314776678691
create_document_page,-0.011574028530480871,-0.020665096948054948,-0.01376358169044805,-0.005551358380837133,-0.006140257894365722,0.04499749503145943
create_google_calendar_event,0.2701290565590349,-0.10434435257144227,-0.00750970739072194,0.04483089429810066,-0.003663723248608952,-0.016102265316592538
create_list,-0.0003429624361085688,0.012451186594896482,-0.004055145311595942,-0.006869682631837708,-0.001656354457854971,-0.009521519262828928
create_subtask,-0.007778135865097722,0.02189454529617148,-0.007199462184550567,-4.4016207863934805e-05,-0.0047683932172670265,-0.01935904984226692
create_task,0.013997868835069826,-0.025330903157279032,0.0040234647276400255,0.009321966250441554,-0.0042260156119086805,0.02015540492231335
delete_memory,0.0003618251070681804,1.3514447003903406e-05,-0.0018353144591093746,-0.0019438641519273613,-0.0010870567868288537,0.0022200824125318047
edit_image,-0.018902449782751293,0.04883466801394995,-0.018567533208510307,-0.020746292926726424,-0.011411491244362382,-0.029246797502575944
find_similar_assets,-0.002322390334871399,0.006955225971611554,-0.0027257272292567493,-0.002527114133063287,-0.0016345997312243116,-0.004540171671268943
find_stale_tasks,-0.008676726007909951,0.03259925462878525,0.0020586336692734616,-0.005767388595365186,0.0026204740012753867,-0.03694756561979206
follow_up_cursor_agent,-0.000963858539531077,0.0030585024388727266,-0.0010517602553114307,-0.0011139666265769115,-0.0006229576179593544,-0.0021318051618237246
generate_image,-0.026103746036687563,0.03341907216646369,-0.025017001691476783,-0.020845590149956045,-0.013260348094627955,-0.001553122249878449
generate_project_summary,-0.010994506136317615,0.02878755228242024,0.0012756302836379602,-0.0047278801313827,0.0005445017259383962,-0.030347912002063587
generate_project_update,-0.011611141393496569,0.02637690142498848,0.009960698600664465,-0.008756690764351366,0.001974380035256737,-0.029716848340115405
generate_stand_up,-0.00037092958195523144,0.016796416108703062,0.0041843901853788916,0.0007267265717615417,0.006171931269675303,-0.02632166517284241
get_cursor_agent,-0.0008982225728352942,0.0028502273072185517,-0.0009801384371106428,-0.0010381087351919154,-0.0005805360137629662,-0.0019866354228375116
gmail_create_draft,-0.005642029840154214,-0.11108436520122453,0.22166906189778343,0.08104384091483349,0.0020357179207819605,-0.016412917997688466
gmail_fetch_drafts,-0.0035273184353978794,-0.05648836234441133,0.08915536100677612,0.06577615888839398,-0.0005044113151704272,-0.008791835944438619
launch_cursor_agent,-0.001209081501535584,0.003836640512664497,-0.001319346996049956,-0.0013973797878860843,-0.0007814492492661468,-0.00267417476769271
list_available_calendars,-0.0008909979616276349,-0.0017096412827475207,0.0005937390795961307,0.008023489589691712,-0.000575866628781659,-0.001970656456181039
load_assets,-0.023024118973062172,0.00973365786042981,0.005700340302713894,-0.01754208577801277,0.020751309068210568,-0.00125186333564918
load_custom_fields,-0.011120238113593011,0.0341571909914297,0.012971447353224683,-0.023089201383027044,0.003174081273939364,-0.03403843852211162
load_web_pages,-0.01983798763171951,-0.28185949050494663,-0.02054864188186978,0.06308664339548849,-0.0016447828995048575,0.3531680922215317
manage_personal_priorities,0.020576092584946176,0.005711422001059986,-0.0020079852290365587,0.009462207792803191,-0.0001003153756308782,-0.021721209730248773
move_task_to_list,0.0026116169077184037,0.002656511549601861,0.008711860461755231,0.0020031653352048638,-0.002148794586696708,-0.009808219269826677
