,edit_image,find_similar_assets,find_stale_tasks,follow_up_cursor_agent,generate_image,generate_project_summary
operational_scope=branching_workflow,0.012863062705959376,0.0009675042665130258,0.01602315577350761,0.005214163159369476,-0.028206118107202482,0.005289916927467983
operational_scope=multi_workflow_orchestration,-0.03463886717254188,-0.0025562003692692686,0.05527060932982159,-0.002087653295020024,-0.04265061915227579,0.06213021823532499
operational_scope=sequential_workflow,0.00876173358276733,0.0008229854129456357,-0.05084538920383064,-0.004185514166954831,0.057593822867027675,-0.043704976604690686
operational_scope=single_action,-0.0002979642356087164,-0.001150962404776456,-0.007753364797629945,-0.0004386399828313153,0.0032957114656531764,-0.007608624360659137
operational_scope=unknown,-0.005332335478002836,-0.0007240679316719685,-0.004591820278466189,-0.00027594745388662324,-0.006594690446598726,-0.0045057785789151495
