,rename_memory,retrieve_activity,retrieve_chat_messages,retrieve_personal_priorities,retrieve_tasks_by_filters,search_clickup_help_center
external_integration_scope=calendar_integration,-0.0006864332063150453,-0.0049243386576720794,-0.005614799505687786,0.0592854871998445,0.044307739253792035,-0.004703900878113617
external_integration_scope=clickup_only,0.001792856519812193,0.04724656407195565,0.0010664526767888778,-0.026820067210502393,0.02576371553178514,-0.016347407617574056
external_integration_scope=email_integration,-0.0007091230939297512,0.015663065650878476,0.009812437072758534,-0.0029552905250439365,0.04230466984054344,-0.005156740396687033
external_integration_scope=multiple_external_systems,-0.0007933360050750967,-0.004361167066166195,0.0005425919704795395,0.09365577262328781,0.036730268682798085,0.01145324839823688
external_integration_scope=unknown,-0.000443653064797492,0.011753773878139888,-0.0010357844072491852,-0.000943241476284009,0.021198073124436053,0.002478567820598277
external_integration_scope=web_research_integration,-0.001037126960199683,-0.0688212175445735,-0.0038331975240844147,-0.04473363521610588,-0.10514718552074914,0.01912997883248659
