output_modality,dormant,failure,success,success_rate
email_external_message,670,168,879,0.5119394292367432
messages,29874,4204,23490,0.40803918843801407
structured_document,12575,689,4206,0.24075558099597935
task_artifact,12149,1291,6963,0.3412733421555486
unknown,1050,84,448,0.2831858407077856
visual_image,14222,175,726,0.04800634794683277
