trigger_source,dormant,failure,success,success_rate
\N,13051,1154,1654,0.10429409168294947
assignment,586,86,559,0.4541023558079171
automation,2191,969,4741,0.6000506265028983
dm,26109,1321,7493,0.2145577413166047
introduction,23326,519,219,0.009100731382978344
manual,28,33,36,0.37113402061473055
mention,241,44,229,0.445525291827927
scheduled,646,1767,20746,0.8958072455632412
task_comment_mention,913,150,1035,0.4933269780741214
unknown,3449,568,0,0.0
