,template_is_custom,template_is_templated,template=custom,template=unknown
add_agent_schedule,0.014188325771441511,,0.014188325771441511,-0.01418832577144144
add_task_to_list,0.007009590837726812,,0.007009590837726812,-0.00700959083772682
check_calendar_availability,0.006645635363671027,,0.006645635363671027,-0.006645635363671076
complete_execution,0.0025840474953611587,,0.0025840474953611587,-0.002584047495361121
create_custom_field,0.008833084605593055,,0.008833084605593055,-0.008833084605592996
create_document,0.03637833282694028,,0.03637833282694028,-0.03637833282694024
create_document_page,0.02992913492320285,,0.02992913492320285,-0.029929134923202722
create_google_calendar_event,0.00979682167296037,,0.00979682167296037,-0.009796821672960362
create_list,0.013136103541652615,,0.013136103541652615,-0.013136103541652582
create_subtask,0.026368246501110616,,0.026368246501110616,-0.02636824650111062
create_task,0.03766799845097493,,0.03766799845097493,-0.037667998450974835
delete_memory,0.0021951968654932365,,0.0021951968654932365,-0.00219519686549326
edit_image,0.02476369833168666,,0.02476369833168666,-0.024763698331686707
find_similar_assets,0.0033009022617735725,,0.0033009022617735725,-0.0033009022617736003
find_stale_tasks,0.024344595626430616,,0.024344595626430616,-0.024344595626430557
follow_up_cursor_agent,0.001257997398892833,,0.001257997398892833,-0.001257997398892845
generate_image,0.03462631895089248,,0.03462631895089248,-0.034626318950892444
generate_project_summary,0.024775896060628237,,0.024775896060628237,-0.024775896060628202
generate_project_update,0.019820645119121974,,0.019820645119121974,-0.019820645119122002
generate_stand_up,0.017239979376067336,,0.017239979376067336,-0.01723997937606731
get_cursor_agent,0.0011723314302982304,,0.0011723314302982304,-0.0011723314302982445
gmail_create_draft,0.01037796601704326,,0.01037796601704326,-0.010377966017043237
gmail_fetch_drafts,0.00524097368302797,,0.00524097368302797,-0.005240973683027956
launch_cursor_agent,0.001578054581247111,,0.001578054581247111,-0.001578054581247169
list_available_calendars,0.0011629020983635573,,0.0011629020983635573,-0.0011629020983636021
load_assets,0.097912972587934,,0.097912972587934,-0.09791297258793384
load_custom_fields,0.04814853962154994,,0.04814853962154994,-0.04814853962154998
load_web_pages,0.026799771536312092,,0.026799771536312092,-0.02679977153631197
manage_personal_priorities,0.013081080358136746,,0.013081080358136746,-0.013081080358136741
move_task_to_list,0.010112446824982836,,0.010112446824982836,-0.0101124468249828
post_chat_message,0.10347437491465526,,0.10347437491465526,-0.10347437491465489
post_reply,0.32215045742617,,0.32215045742617,-0.3221504574261696
post_slack_message,0.00883687601298319,,0.00883687601298319,-0.00883687601298317
post_task_comment,0.04893454226764323,,0.04893454226764323,-0.04893454226764335
read_memory,0.07652300823025669,,0.07652300823025669,-0.07652300823025729
reflect,0.001740770182308475,,0.001740770182308475,-0.001740770182308459
rename_memory,0.0008959107095509242,,0.0008959107095509242,-0.0008959107095509374
retrieve_activity,0.05047175148256915,,0.05047175148256915,-0.050471751482568966
retrieve_chat_messages,0.030711500099708845,,0.030711500099708845,-0.03071150009970881
retrieve_personal_priorities,0.02879635900424209,,0.02879635900424209,-0.028796359004241965
retrieve_tasks_by_filters,0.09606807594757023,,0.09606807594757023,-0.09606807594757011
search_clickup_help_center,0.007028494269898556,,0.007028494269898556,-0.007028494269898584
search_clickup_support_resources,0.006787086700845847,,0.006787086700845847,-0.006787086700845836
search_google_calendar,0.021596713585496613,,0.021596713585496613,-0.02159671358549656
search_public_web,0.02862294062148592,,0.02862294062148592,-0.02862294062148586
search_users_and_teams,0.023064919507371176,,0.023064919507371176,-0.023064919507371193
search_workspace,0.07086672467751505,,0.07086672467751505,-0.07086672467751505
todo_write,0.17270224031690376,,0.17270224031690376,-0.1727022403169034
update_chat_message,0.0020398457695090574,,0.0020398457695090574,-0.0020398457695091233
update_comment,0.007359382175089374,,0.007359382175089374,-0.0073593821750894215
update_document,0.025552493401955888,,0.025552493401955888,-0.02555249340195577
update_google_calendar_event,0.005553387988958977,,0.005553387988958977,-0.005553387988958982
update_task,0.04206429254314384,,0.04206429254314384,-0.04206429254314386
view_tools_catalog,0.05518056898502359,,0.05518056898502359,-0.055180568985023576
write_memory,0.045567824431673606,,0.045567824431673606,-0.04556782443167345
