,state_persistence=state_accumulating,state_persistence=state_referencing,state_persistence=stateless,state_persistence=unknown
add_agent_schedule,0.002059020775367398,0.010370295915378802,-0.0023020024752443313,-0.007935800092705982
add_task_to_list,0.0002555835648548676,-0.0054631745552695616,-0.0020758145417485384,0.0035531623642450065
check_calendar_availability,-0.0061097834748800595,0.0027335518662158454,-0.001968033063045385,0.0036081220057830607
complete_execution,-0.004589224127512899,-0.0034258318372346183,0.026270814463324372,0.00212430097269515
create_custom_field,0.0021621289212476135,-0.0044122537015450726,0.0016720296424837927,0.0007629343740714851
create_document,0.14228540548440738,-0.022031879073725117,-0.0011803133558080943,-0.1035248628293723
create_document_page,0.1902533134002646,-0.021759169286682988,-0.003517218994410293,-0.14302036513663105
create_google_calendar_event,-0.008912927068355591,0.006921949408687088,-0.002901222819197164,0.0034090365083347314
create_list,-0.00017824731510762102,-0.0036967155184496384,-0.0015369427166173938,0.0027140283720100363
create_subtask,-0.009599869308764313,-0.008864627203513678,-0.005952438835383701,0.014424228125990923
create_task,0.0038231022668568427,-0.0011863319679707833,-0.0034791880367042675,-0.0019010781292280884
delete_memory,0.0022755945825005293,-0.0002142270713631405,-0.0006500838181404357,-0.001650916749227169
edit_image,-0.030866968509919972,0.010254275070049274,0.005982763734909677,0.018152773860002996
find_similar_assets,-0.0012179863412662727,-0.001295961174585872,-0.0009775265168119993,0.0019710756962599708
find_stale_tasks,-0.019134457058980866,-0.010540084250620493,-0.0032962593928194065,0.022981419723863104
follow_up_cursor_agent,-0.0023737939213393632,-0.0017190120917031937,-0.0003725423287260574,0.0031063671701756245
generate_image,-0.01665982797481891,0.01814563797732385,0.002073890241413162,0.0019771353899377436
generate_project_summary,0.008332825639910517,-0.012218810243248144,-0.005146225818416959,0.0016028470533340088
generate_project_update,0.0022006407336892875,-0.01314091576652694,-0.0027207590277063378,0.006903079963308632
generate_stand_up,0.00041079531766245183,-0.008217220302387631,-0.0019875392911904706,0.005156648623309206
get_cursor_agent,-0.002212145450766626,-0.0016019523616980138,-0.0003471732783123612,0.0028948325893587297
gmail_create_draft,-0.006885541690721372,0.004360152138821046,0.0023438258988761063,0.002588713199110983
gmail_fetch_drafts,-0.0037863930525580255,0.0039787681803227296,-0.0015520576929535736,0.0008372411166972012
launch_cursor_agent,-0.0029777298234504655,-0.0021563597102180294,-0.0004673238029522546,0.003896682893180633
list_available_calendars,-0.0014297054124605146,0.0028929101918812035,-0.0003443808836060213,-0.0006001446576481359
load_assets,0.10344623669910112,-0.030673071742249192,-0.0024231452787317562,-0.06575292191749965
load_custom_fields,-0.012407018143862187,-0.02680470879485412,0.005651779803936014,0.02641424620048906
load_web_pages,0.044628210819443966,0.01368923715206637,0.0030791983857632625,-0.04602537059724928
manage_personal_priorities,-0.01311727606456078,0.002100301543174634,-0.003071647891397226,0.009965103415555246
move_task_to_list,-0.004776682421880883,-0.0009239733775298396,-0.002967890269147532,0.004969074558380345
post_chat_message,0.006955574029595386,0.012290751399408996,-0.0071041418890035535,-0.012499295596401075
post_reply,-0.03748127768746992,0.012102412649539656,0.002059323613147991,0.02302489374501497
post_slack_message,-0.001726310160349386,-0.0019508155347920289,-0.0014822105367017393,0.0028800529118395233
post_task_comment,-0.005341983077164217,-0.019816844513694337,-0.0022557895928120857,0.017301371363097433
read_memory,0.1219701340085445,0.0607432994321388,-0.011380718879317221,-0.13767448330789933
reflect,-0.0030238665666192776,-0.0022870380582988834,0.002850956007418326,0.0035324833365885035
rename_memory,-0.0007242760556450534,0.0005519362132429329,-0.00026531427041140914,0.00028802790036089847
retrieve_activity,0.011365649426924798,-0.019832605942540587,-0.006931363402068062,0.004179483628789526
retrieve_chat_messages,0.012377013342248357,0.011769747532715034,-0.004438521210812382,-0.017041905565708695
retrieve_personal_priorities,-0.0296237106094534,-0.0011420056100891005,-0.0074813781698008525,0.02631294802633057
retrieve_tasks_by_filters,0.01407096801298654,-0.03389603024676398,-0.0014052502108586366,0.010043970189553138
search_clickup_help_center,0.03858527230726796,0.0062264558285314965,-0.002081412588810011,-0.03554620866601358
search_clickup_support_resources,0.014523822844125817,0.0008207817679646154,-0.0020099223472354035,-0.012235794111686942
search_google_calendar,-0.00352508494001725,0.009601207150986895,-0.004732993304262362,-0.0024756892222768546
search_public_web,0.05932603734375906,0.020954086208846107,-0.0003011838905199494,-0.06228711322589121
search_users_and_teams,-0.0037365614176059006,-0.0011418589201884928,0.0014963676586050023,0.0035943583518411306
search_workspace,0.16425848646650182,-0.001129962545387156,-0.009992801102373676,-0.13364761156645996
todo_write,0.09714015025585407,-0.027056384652793947,-0.013308764071515385,-0.06123819711516278
update_chat_message,0.0014801133709355884,0.004127323800824355,-0.0005262133903547149,-0.0037616958924245347
update_comment,0.0015921966607565998,-0.002113639625205147,0.0015245241948802814,-0.00020043839281624228
update_document,0.22882099618588223,-0.019134849620382758,-0.003576445043885246,-0.1765656594095716
update_google_calendar_event,-0.005590438970005137,0.004969162211478138,-0.0016445758119586966,0.0017150909875841296
update_task,-0.01532574755214167,-0.019068720741522622,0.0053468855940700735,0.023971419976794323
view_tools_catalog,0.008874002060019584,-0.0069891436999397,-0.005434352629708665,-0.0021156090204156957
write_memory,0.06089961411747065,0.033526818797194644,-0.004094716840153082,-0.07099872070436768
