,data_flow_direction=bidirectional,data_flow_direction=inbound,data_flow_direction=outbound,data_flow_direction=processing,data_flow_direction=unknown
template_is_custom,0.014152947688147646,-0.006865161164363504,-0.02787067251172713,0.023277306119578796,-0.02694919328797442
template_is_templated,,,,,
template=custom,0.014152947688147646,-0.006865161164363504,-0.02787067251172713,0.023277306119578796,-0.02694919328797442
template=unknown,-0.014152947688147692,0.006865161164363536,0.027870672511726844,-0.02327730611957852,0.026949193287974432
