,edit_image,find_similar_assets,find_stale_tasks,follow_up_cursor_agent,generate_image,generate_project_summary
template_is_custom,0.02476369833168666,0.0033009022617735725,0.024344595626430616,0.001257997398892833,0.03462631895089248,0.024775896060628237
template_is_templated,,,,,,
template=custom,0.02476369833168666,0.0033009022617735725,0.024344595626430616,0.001257997398892833,0.03462631895089248,0.024775896060628237
template=unknown,-0.024763698331686707,-0.0033009022617736003,-0.024344595626430557,-0.001257997398892845,-0.034626318950892444,-0.024775896060628202
