value,top_tools_pos,top_tools_neg
creative_design,"Chat & messaging: post_reply (+0.18); Media & creation: edit_image (+0.26), generate_image (+0.21)","Docs & context: load_assets (-0.15); Task & list work: todo_write (-0.26), retrieve_tasks_by_filters (-0.19); Other actions: search_workspace (-0.12)"
education_academic,—,"Task & list work: todo_write (-0.15), retrieve_tasks_by_filters (-0.12)"
personal_productivity,Calendar: search_google_calendar (+0.18); Calendar & priorities: retrieve_personal_priorities (+0.22),—
project_management_ops,"Task & list work: todo_write (+0.28), retrieve_tasks_by_filters (+0.26), retrieve_activity (+0.21)",Chat & messaging: post_reply (-0.23); Media & creation: generate_image (-0.12)
