,data_flow_direction=bidirectional,data_flow_direction=inbound,data_flow_direction=outbound,data_flow_direction=processing,data_flow_direction=unknown
add_agent_schedule,0.0308705561926533,-0.002677195626902129,-0.02779404561901669,0.011981327076556605,-0.0008204147215332291
add_task_to_list,-0.0017567238615198765,-0.00199912925923861,-0.027946164430608097,0.028872643727064853,-0.001506467094075092
check_calendar_availability,0.09115080049642692,-0.0005309713456426775,-0.021975938085306686,-0.02493857926587548,-0.0014282475577188768
complete_execution,-0.0034693819519040995,-0.0007881001838759693,-0.0036012424708801237,0.005478162137389131,-0.0005553508915723116
create_custom_field,-0.0023170720522586205,0.006507075525254302,-0.02431047789497212,0.02457603519802813,-0.0014677282528574756
create_document,0.0028933454234586157,-0.010542689281850193,-0.024229006428955008,0.023964155389019363,-0.003461816220448113
create_document_page,0.0034220862609128143,-0.00889370597597226,-0.03277670027432772,0.03197250035046204,-0.003773694144954693
create_google_calendar_event,0.13584260166390535,0.007324864365941152,-0.02901540798793964,-0.04180259472947415,-0.002105485158620565
create_list,-0.0011257216262276848,0.012464977196735762,-0.036900505726862855,0.03561322301126967,-0.0002673401373535861
create_subtask,-0.007980236437528316,-0.0027193594648717034,-0.07240730432328439,0.07627664706828141,-0.0038214022675969054
create_task,0.06148154017313083,0.05344669336154913,-0.07080581158383382,0.03246895148747313,-0.003733613092498959
delete_memory,-0.002033333289475711,-0.0006695059036046789,-0.0031649561963754376,0.004288590710860463,-0.00047178100968227386
edit_image,-0.0338900069783074,-0.0075525992628565075,0.1317672056978782,-0.11148254849235428,-0.005220346705133045
find_similar_assets,-0.004499132055985552,-0.0010067313716680853,-0.013458483507230227,0.015785387800037708,-0.0007094138236080991
find_stale_tasks,-0.01580402770715212,-0.006773920928041676,-0.08212604836667785,0.09042409882368345,-0.004468341120051798
follow_up_cursor_agent,-0.0018191935365960295,-0.00038367250724404776,-0.005634142905176717,0.006568653497942056,-0.00027036266876865066
generate_image,-0.03772005193778964,-0.010560567629323718,0.1769295093325632,-0.1536916416609464,-0.006426425838622374
generate_project_summary,-0.0155723368652355,-0.007441347215600308,-0.06589489697658624,0.0743506041420199,-0.0045440196968615145
generate_project_update,-0.010944134536018585,-0.005807175569858627,-0.06535758179472448,0.07112579128280566,-0.003008641421076762
generate_stand_up,-0.008575060628341721,-0.005257964855788199,-0.05458293117994954,0.05924510291555416,-0.0035809363008382222
get_cursor_agent,-0.0016953117412039126,-0.000357545524004581,-0.005250474139567818,0.00612134727556126,-0.000251951756383392
gmail_create_draft,0.12802186986734387,-0.0019152157262744894,-0.019830292847837574,-0.045794376726298415,-0.002005586648137859
gmail_fetch_drafts,0.06167369251146792,0.013002884284829657,-0.011816531465667829,-0.021430327317813143,-0.0011263645164423758
launch_cursor_agent,-0.002282029117967412,-0.0004812856992295223,-0.007067570275375992,0.008239837184222734,-0.00033914779825783135
list_available_calendars,0.005069916284050697,-0.00035466970293516407,-0.002275462680325555,-0.00029470765287794383,-0.0002499252503279888
load_assets,0.011409374698308664,0.015385432396014245,-0.1987110442985817,0.18913573762577712,-0.005323510446893866
load_custom_fields,0.007643435190376717,0.02047296673462255,-0.1736749256817189,0.1658887175422262,-0.007128194983064782
load_web_pages,0.09091264071517004,0.004797266070316963,0.03552787834428599,-0.08203500123839362,-0.004121952865164295
manage_personal_priorities,0.0007347160071744369,-0.0029356354475487535,-0.04874265210944798,0.048338941355668325,-0.002580935542593557
move_task_to_list,0.007328442729362015,0.00496007755396035,-0.037523485222106606,0.0328891080072095,-0.0018700476194138593
post_chat_message,0.028990381263984583,-0.014157634972354808,-0.11684423342114066,0.10302276245572364,-0.009947289033667919
post_reply,-0.060640619920477215,-0.008321630942925252,0.2730267683423951,-0.2375217582312041,-0.00166183076960345
post_slack_message,0.005528975342692306,-0.002306171320230885,0.012849664784938366,-0.015113742463504616,-0.0018991783167044325
post_task_comment,-0.004242365989530468,-0.007574765909774431,-0.14186118781306326,0.1437196588229453,-0.005900173248775195
read_memory,0.08963620985663562,0.005930316634612602,-0.1050442812089462,0.05619875492558167,0.01040282423372598
reflect,-0.001866658444791912,-0.000530911797567928,-0.00289555212466368,0.003912626921942978,-0.0003741178420686804
rename_memory,-0.001271358908567086,-0.000273240873552448,-0.0017530418913869422,0.0024329824529682738,-0.00019254476251363394
retrieve_activity,-0.020730850902270233,-0.01310351700510274,-0.14693341083899011,0.15786466277707722,-0.006128542583901121
retrieve_chat_messages,-0.0032181128672525918,-0.002318036298604866,0.008384159826405262,-0.0062323647850040685,-0.0015750973684671417
retrieve_personal_priorities,0.047065682904914696,-0.008782507236009533,-0.09400754994824127,0.07005458106713763,-0.003961955584147487
retrieve_tasks_by_filters,0.04832754689263078,-0.006308042694432296,-0.30383472070581447,0.27700094712661816,-0.01065063655027509
search_clickup_help_center,-0.004199751936930961,-0.002070220591957645,0.01776332144184055,-0.01615578644332481,0.012211083516866252
search_clickup_support_resources,0.0016062019400746074,0.0021817400140330973,0.012392257402231294,-0.013236964078694869,-0.0010589501420330044
search_google_calendar,0.2259578639507886,0.0004999072901172223,-0.05813484726326894,-0.058327942819971536,-0.004641460409016564
search_public_web,0.10275021271142981,-0.001851322385333769,0.05860177126768644,-0.11064760225573093,0.0020177899542067027
search_users_and_teams,0.0015251470078736897,0.0015262698980034273,-0.07178247241947684,0.07024898690411825,-0.0034200282045918277
search_workspace,0.13203824677672565,0.049754881863124274,-0.15453210010014531,0.0793432656593605,-0.0033088413416623693
