domain_knowledge_depth,dormant,failure,success,success_rate
deep,5120,449,3084,0.3564081821333229
light,18570,3444,16673,0.43097164422156203
moderate,41878,1830,12405,0.22107176590094593
none,4962,885,4544,0.43730151092287195
unknown,10,3,6,0.31578947366759
