,update_chat_message,update_comment,update_document,update_google_calendar_event,update_task,view_tools_catalog
tone_and_persona=casual_friendly,-0.003637872468253455,-0.008694421613839445,-0.040708115177058773,0.004972319680071035,-0.05868173839135857,-0.037234679142152824
tone_and_persona=empathetic_supportive,0.001929787192667027,-0.007971394397493847,-0.013675261638331033,0.0007099154667457007,-0.02717347963846869,-0.033762208526349036
tone_and_persona=professional_formal,0.00048397329779702956,0.011703869298268998,0.03192073309208438,-0.0035089090381779384,0.05133934654703862,0.04734572512179048
tone_and_persona=technical_precise,0.00297351585892431,0.0019480885069936618,0.02529840862461956,-0.003937919528644616,0.032211918609925484,0.0067424508974088465
tone_and_persona=unknown,0.0009736637263553373,0.0015418551496194693,0.007888219343942474,0.001659863061519244,0.01728919259183578,0.020579959501079145
