data_flow_direction,dormant,failure,success,success_rate
bidirectional,3409,723,3957,0.48918284089498215
inbound,212,45,129,0.33419689119084406
outbound,38376,1349,8455,0.17548775425487392
processing,28432,4476,24108,0.4228286796688575
unknown,111,18,63,0.32812499999829103
