,domain_knowledge_depth=deep,domain_knowledge_depth=light,domain_knowledge_depth=moderate,domain_knowledge_depth=none,domain_knowledge_depth=unknown
data_flow_direction=bidirectional,0.02016188300903025,0.06601807194021335,-0.06122546078723194,-0.020679250778552313,-0.0035725612292632613
data_flow_direction=inbound,-0.01216453776630184,0.0503565887161232,-0.04056593965504341,-0.0011678833998859683,-0.0007534621779049862
data_flow_direction=outbound,-0.04577936264193422,-0.36233377886209,0.4513621394613862,-0.14505160356884533,-0.01106441953439736
data_flow_direction=processing,0.03573308988980953,0.3191901840188997,-0.4091709930886246,0.15308319847203097,-0.012937975511948726
data_flow_direction=unknown,0.006792649712644566,-0.01140502077733124,-0.007972137703881187,0.012248411983812272,0.314337325082302
