value,top_tools_pos,top_tools_neg
casual_friendly,Chat & messaging: post_reply (+0.10); Media & creation: edit_image (+0.09),"Docs & context: load_assets (-0.12), load_custom_fields (-0.08); Task & list work: todo_write (-0.13), retrieve_tasks_by_filters (-0.08); Other actions: search_workspace (-0.07), post_task_comment (-0.07)"
professional_formal,"Docs & context: load_assets (+0.12), load_custom_fields (+0.08); Task & list work: todo_write (+0.14), retrieve_tasks_by_filters (+0.09), retrieve_activity (+0.09); Other actions: post_task_comment (+0.08)",Chat & messaging: post_reply (-0.10); Media & creation: generate_image (-0.07)
