,trigger=\N,trigger=assignment,trigger=automation,trigger=dm,trigger=introduction,trigger=manual,trigger=mention,trigger=scheduled,trigger=task_comment_mention,trigger=unknown
template_is_custom,0.07693756137041437,0.019967389703336863,0.05223629558321731,0.12735932426935093,0.09884749306656354,0.005809817199603851,0.012776440564152005,0.09660236329267857,0.026181351793737234,-1.0
template_is_templated,,,,,,,,,,
template=custom,0.07693756137041437,0.019967389703336863,0.05223629558321731,0.12735932426935093,0.09884749306656354,0.005809817199603851,0.012776440564152005,0.09660236329267857,0.026181351793737234,-1.0
template=unknown,-0.07693756137041409,-0.019967389703336877,-0.05223629558321726,-0.12735932426935082,-0.09884749306656332,-0.005809817199603808,-0.012776440564151965,-0.09660236329267907,-0.02618135179373731,1.0
