execution_dataset,dormant,failure,success,success_rate
collection_scoped,11213,3125,18728,0.5663823867416511
collection_unbounded,3458,1134,6593,0.5894501564594913
single_asset_from_user,10795,194,999,0.08333333333332638
single_event_data,19695,1529,7100,0.25067080920773016
single_user_prompt,25106,594,3061,0.10642884461596931
unknown,273,35,231,0.42857142857063346
