,implied_end_date=false,implied_end_date=true,implied_end_date=unknown
operational_scope=branching_workflow,0.05525017553851513,-0.04792646529758507,-0.04037506970977069
operational_scope=multi_workflow_orchestration,-0.02055527407489457,0.022871283240898405,-0.009115662834349864
operational_scope=sequential_workflow,-0.025322944768484502,0.025724681522786202,0.0005084766832516449
operational_scope=single_action,-0.09497591669889827,0.058062247985674525,0.18587795665849813
operational_scope=unknown,-0.07630749671894792,0.02939609659163907,0.23195770960879888
