value,top_tools_pos,top_tools_neg
collection_scoped,"Task & list work: retrieve_tasks_by_filters (+0.38), todo_write (+0.37), read_memory (+0.22), retrieve_activity (+0.22)",Chat & messaging: post_reply (-0.27)
collection_unbounded,"Task & list work: todo_write (+0.24), retrieve_tasks_by_filters (+0.21)",—
single_asset_from_user,—,Task & list work: todo_write (-0.20)
single_event_data,—,Task & list work: retrieve_tasks_by_filters (-0.18)
single_user_prompt,Chat & messaging: post_reply (+0.28),"Docs & context: load_assets (-0.18); Task & list work: todo_write (-0.33), retrieve_tasks_by_filters (-0.26)"
