value,top_prompts_pos,top_prompts_neg
analyzer,output_modality_messages (+0.16); domain_industry_vertical_finance_accounting (+0.14); external_integration_scope_web_research_integration (+0.11); tone_and_persona_technical_precise (+0.10); domain_industry_vertical_general_cross_functional (+0.10); execution_dataset_collection_scoped (+0.09),output_modality_visual_image (-0.13); output_modality_task_artifact (-0.13); domain_industry_vertical_creative_design (-0.12); tone_and_persona_casual_friendly (-0.12); execution_dataset_single_user_prompt (-0.08); external_integration_scope_clickup_only (-0.07)
communicator,output_modality_email_external_message (+0.38); external_integration_scope_email_integration (+0.30); data_flow_direction_bidirectional (+0.15); output_modality_messages (+0.11); domain_industry_vertical_general_cross_functional (+0.11); domain_industry_vertical_personal_productivity (+0.09),external_integration_scope_clickup_only (-0.16); output_modality_task_artifact (-0.10); output_modality_structured_document (-0.09); domain_industry_vertical_creative_design (-0.09); output_modality_visual_image (-0.09); data_flow_direction_processing (-0.09)
creator,data_flow_direction_outbound (+0.65); domain_knowledge_depth_moderate (+0.49); output_modality_visual_image (+0.48); domain_industry_vertical_creative_design (+0.45); execution_dataset_single_user_prompt (+0.43); autonomy_level_consultative (+0.29),data_flow_direction_processing (-0.56); domain_industry_vertical_project_management_ops (-0.50); domain_knowledge_depth_light (-0.38); execution_dataset_collection_scoped (-0.37); output_modality_messages (-0.31); tone_and_persona_professional_formal (-0.24)
enforcer,data_flow_direction_processing (+0.16); execution_dataset_single_event_data (+0.14); domain_knowledge_depth_deep (+0.14); domain_industry_vertical_project_management_ops (+0.10); autonomy_level_human_in_the_loop (+0.08); output_modality_messages (+0.08),data_flow_direction_outbound (-0.14); domain_knowledge_depth_moderate (-0.11); autonomy_level_consultative (-0.10); execution_dataset_single_user_prompt (-0.09); output_modality_visual_image (-0.07); tone_and_persona_casual_friendly (-0.07)
monitor,output_modality_messages (+0.32); domain_industry_vertical_project_management_ops (+0.31); data_flow_direction_processing (+0.29); autonomy_level_autonomous (+0.28); execution_dataset_collection_scoped (+0.28); execution_dataset_collection_unbounded (+0.28),domain_knowledge_depth_moderate (-0.28); data_flow_direction_outbound (-0.26); execution_dataset_single_user_prompt (-0.23); autonomy_level_consultative (-0.22); output_modality_task_artifact (-0.16); execution_dataset_single_event_data (-0.16)
organizer,output_modality_task_artifact (+0.48); data_flow_direction_processing (+0.34); domain_industry_vertical_project_management_ops (+0.25); autonomy_level_human_in_the_loop (+0.23); domain_knowledge_depth_light (+0.22); operational_scope_multi_workflow_orchestration (+0.17),data_flow_direction_outbound (-0.44); output_modality_visual_image (-0.25); domain_knowledge_depth_moderate (-0.23); domain_industry_vertical_creative_design (-0.22); execution_dataset_single_user_prompt (-0.18); output_modality_structured_document (-0.13)
unknown,data_flow_direction_unknown (+0.79); operational_scope_unknown (+0.76); autonomy_level_unknown (+0.58); domain_industry_vertical_unknown (+0.50); execution_dataset_unknown (+0.46); team_orientation_unknown (+0.40),team_orientation_individual (-0.13); implied_end_date_false (-0.08); external_integration_scope_clickup_only (-0.06)
