value,top_prompts_pos,top_prompts_neg
branching_workflow,execution_dataset_single_event_data (+0.13); tone_and_persona_casual_friendly (+0.09); data_flow_direction_processing (+0.09); use_case_context_general_productivity (+0.09); functional_archetype_monitor (+0.09); output_modality_messages (+0.08),execution_dataset_single_asset_from_user (-0.15); output_modality_structured_document (-0.11); tone_and_persona_unknown (-0.08); autonomy_level_autonomous (-0.08); execution_dataset_unknown (-0.07); use_case_context_specific_use_case (-0.07)
multi_workflow_orchestration,execution_dataset_collection_scoped (+0.23); data_flow_direction_bidirectional (+0.19); functional_archetype_organizer (+0.17); external_integration_scope_multiple_external_systems (+0.17); autonomy_level_human_in_the_loop (+0.16); state_persistence_state_accumulating (+0.15),functional_archetype_creator (-0.15); state_persistence_unknown (-0.13); external_integration_scope_clickup_only (-0.13); execution_dataset_single_user_prompt (-0.12); data_flow_direction_outbound (-0.12); execution_dataset_single_asset_from_user (-0.10)
sequential_workflow,execution_dataset_single_asset_from_user (+0.22); functional_archetype_creator (+0.16); data_flow_direction_outbound (+0.14); output_modality_structured_document (+0.14); autonomy_level_autonomous (+0.13); execution_dataset_single_user_prompt (+0.10),execution_dataset_collection_scoped (-0.12); autonomy_level_human_in_the_loop (-0.12); data_flow_direction_processing (-0.10); functional_archetype_organizer (-0.10); functional_archetype_monitor (-0.10); domain_industry_vertical_project_management_ops (-0.10)
single_action,implied_end_date_unknown (+0.19); autonomy_level_unknown (+0.18); tone_and_persona_unknown (+0.17); use_case_context_test_or_placeholder (+0.15); team_orientation_unknown (+0.11); implied_end_date_true (+0.06),implied_end_date_false (-0.09)
unknown,data_flow_direction_unknown (+0.93); functional_archetype_unknown (+0.76); autonomy_level_unknown (+0.74); execution_dataset_unknown (+0.57); team_orientation_unknown (+0.49); domain_industry_vertical_unknown (+0.40),team_orientation_individual (-0.16); implied_end_date_false (-0.08); external_integration_scope_clickup_only (-0.07)
