,implied_end_date=false,implied_end_date=true,implied_end_date=unknown
implied_end_date=false,1.0,-0.9788190031310692,-0.19746710439519571
implied_end_date=true,-0.9788190031310692,1.0,-0.00741178528449873
implied_end_date=unknown,-0.19746710439519571,-0.00741178528449873,1.0
