feature,coefficient
add_agent_schedule,0.04294439783227685
add_task_to_list,0.008177677410750326
check_calendar_availability,-0.017778690361676834
complete_execution,0.1517160043585605
create_custom_field,-0.01154877042801765
create_document,-0.09419179094081732
create_document_page,0.0030396341817694955
create_google_calendar_event,-0.009606901180273724
create_list,-0.08142978652160207
create_subtask,-0.05160694640032395
create_task,-0.0055867542617171
delete_memory,0.009304093831951537
edit_image,-0.1195890154016797
find_similar_assets,-0.0077212902318718616
find_stale_tasks,-0.022178876369655737
follow_up_cursor_agent,-0.04830439025826478
generate_image,-0.18567746310355243
generate_project_summary,0.09621186768012394
generate_project_update,0.03044756856417327
generate_stand_up,0.024164883376648873
get_cursor_agent,0.04257215304969308
gmail_create_draft,-0.0014470058916627017
gmail_fetch_drafts,-0.003491539786069594
launch_cursor_agent,-0.03780924348250112
list_available_calendars,-0.025162696894580606
load_assets,0.025969499252785317
load_custom_fields,-0.054445413112557545
load_web_pages,-0.005687987588043907
manage_personal_priorities,-0.016420953025960118
move_task_to_list,0.0019162605964128103
post_chat_message,0.11567268637363878
post_reply,-0.46175838153811055
post_slack_message,0.004493071892770226
post_task_comment,-0.024637887674474692
read_memory,0.23004544726501533
reflect,-0.10383060723404484
rename_memory,-0.016283562357861363
retrieve_activity,0.04626213192978397
retrieve_chat_messages,-0.017929533505107585
retrieve_personal_priorities,-0.046697545366066656
retrieve_tasks_by_filters,0.214148865981815
search_clickup_help_center,0.007188133628424163
search_clickup_support_resources,0.05290260595213185
search_google_calendar,0.021592950823475853
search_public_web,0.07082175671701273
search_users_and_teams,-0.01857327559699836
search_workspace,0.07833759377495031
todo_write,0.9889670774843791
update_chat_message,0.004550207337168086
update_comment,0.0017162964086387665
update_document,0.022760242658055714
update_google_calendar_event,0.02111714896078508
update_task,-0.005959757510180544
view_tools_catalog,0.04254021154544649
write_memory,0.10951483164651679
